CO2,CO,PM10,PM25,PM100,NO2,TIME
428.13,16.19,0,1,2,106.19,0
428.13,15.94,0,1,2,107.71,12
565.63,15.77,0,1,2,106.69,24
565.63,15.69,0,1,2,105.68,36
550.00,15.45,0,1,2,104.93,48
550.00,15.29,0,1,2,103.93,60
550.00,15.21,1,2,2,103.19,72
550.00,15.13,1,2,2,102.45,84
534.38,14.97,1,3,3,101.95,96
518.75,14.97,1,3,3,98.56,108
518.75,14.89,1,3,3,100.73,120
518.75,14.89,1,2,3,100.25,132
518.75,14.74,1,2,3,99.52,144
518.75,14.66,1,2,3,99.52,156
518.75,14.51,1,3,4,99.04,168
518.75,14.51,1,3,4,98.80,180
518.75,14.43,1,3,4,98.56,192
565.63,14.28,1,2,3,98.56,204
503.13,14.43,1,2,2,95.47,216
503.13,14.36,1,2,2,98.56,228
487.50,14.36,1,2,2,98.56,240
487.50,14.21,1,2,2,98.08,252
487.50,14.28,1,2,2,97.60,264
487.50,14.28,1,2,3,98.08,276
487.50,14.21,1,2,3,98.32,288
471.88,14.13,1,2,3,97.60,300
534.38,13.99,1,2,3,97.12,312
471.88,13.99,1,2,3,95.70,324
471.88,13.91,1,2,3,96.18,336
471.88,13.91,1,2,3,95.94,348
471.88,13.91,1,2,3,95.70,360
471.88,13.77,1,2,2,95.00,372
471.88,13.70,1,2,3,94.07,384
471.88,13.77,1,2,3,93.83,396
471.88,13.70,1,3,3,93.14,408
503.13,13.55,1,3,4,93.14,420
456.25,13.55,1,3,4,92.68,432
471.88,13.55,1,2,3,92.68,444
471.88,13.70,1,2,2,87.03,456
487.50,13.41,1,2,2,91.76,468
471.88,13.48,1,2,2,91.53,480
471.88,13.41,1,2,2,91.07,492
471.88,13.34,1,2,2,90.62,504
471.88,13.34,1,2,2,90.16,516
503.13,13.21,1,2,2,89.94,528
471.88,13.21,1,2,2,89.26,540
471.88,13.14,1,2,2,89.04,552
471.88,13.27,1,2,2,84.61,564
471.88,13.14,1,2,3,88.36,576
471.88,13.14,1,2,3,87.69,588
